Heathens;Twenty One Pilots - Image: songs2\Heathens - Twenty One Pilots.jpg - URL: https://upload.wikimedia.org/wikipedia/en/e/e0/Twentyonepilotsheathens.jpg
Youngblood;5 Seconds Of Summer - Image: songs2\Youngblood - 5 Seconds Of Summer.jpg - URL: https://upload.wikimedia.org/wikipedia/en/e/ea/5_Seconds_of_Summer_Youngblood.png
This Is What You Came For;Calvin Harris ft. Rihanna - Image: songs2\This Is What You Came For - Calvin Harris ft. Rihanna.jpg - URL: https://upload.wikimedia.org/wikipedia/en/a/a8/This_Is_What_You_Came_For_cover.png
Iris;The Goo Goo Dolls - Image: songs2\Iris - The Goo Goo Dolls.jpg - URL: https://upload.wikimedia.org/wikipedia/en/3/3f/GGD_Iris.jpg
I Like Me Better;Lauv - Image: songs2\I Like Me Better - Lauv.jpg - URL: https://i.ytimg.com/vi/a7fzkqLozwA/maxresdefault.jpg
Somebody That I Used To Know;Gotye ft. Kimbra - Image: songs2\Somebody That I Used To Know - Gotye ft. Kimbra.jpg - URL: https://i.ytimg.com/vi/8UVNT4wvIGY/maxresdefault.jpg
All I Want for Christmas Is You;Mariah Carey - Image: songs2\All I Want for Christmas Is You - Mariah Carey.jpg - URL: https://i.ytimg.com/vi/aAkMkVFwAoo/maxresdefault.jpg
Easy On Me;Adele - Image: songs2\Easy On Me - Adele.jpg - URL: https://i.ytimg.com/vi/X-yIEMduRXk/maxresdefault.jpg
Cheap Thrills;Sia - Image: songs2\Cheap Thrills - Sia.jpg - URL: https://upload.wikimedia.org/wikipedia/en/f/fc/Sia_Cheap_Thrills.png
Numb;Linkin Park - Image: songs2\Numb - Linkin Park.jpg - URL: https://upload.wikimedia.org/wikipedia/en/b/b9/Linkin_Park_-_Numb_CD_cover.jpg
Ride;Twenty One Pilots - Image: songs2\Ride - Twenty One Pilots.jpg - URL: https://upload.wikimedia.org/wikipedia/en/5/53/Twenty_One_Pilots_%E2%80%93_Ride.jpg
I Feel It Coming;The Weeknd ft. Daft Punk - Image: songs2\I Feel It Coming - The Weeknd ft. Daft Punk.jpg - URL: https://m.media-amazon.com/images/M/MV5BOTk3MWIxZWUtYTMzMC00NzY1LWEyNjMtNTViNGE2NmFhYjM4XkEyXkFqcGc@._V1_.jpg
Bad Habits;Ed Sheeran - Image: songs2\Bad Habits - Ed Sheeran.jpg - URL: https://upload.wikimedia.org/wikipedia/en/2/2e/Ed_Sheeran_-_Bad_Habits_2.png
Can't Feel My Face;The Weeknd - Image: songs2\Can't Feel My Face - The Weeknd.jpg - URL: https://upload.wikimedia.org/wikipedia/en/2/22/The_Weeknd_-_Can%27t_Feel_My_Face.png
Be Alright;Dean Lewis - Image: songs2\Be Alright - Dean Lewis.jpg - URL: https://i.scdn.co/image/ab67616d0000b27313480e8127119dcb882eb53d
Chandelier;Sia - Image: songs2\Chandelier - Sia.jpg - URL: https://i.ytimg.com/vi/2vjPBrBU-TM/maxresdefault.jpg
Despacito;Luis Fonsi ft. Daddy Yankee - Image: songs2\Despacito - Luis Fonsi ft. Daddy Yankee.jpg - URL: https://i.ytimg.com/vi/kJQP7kiw5Fk/maxresdefault.jpg
Shut Up and Dance;Walk The Moon - Image: songs2\Shut Up and Dance - Walk The Moon.jpg - URL: https://upload.wikimedia.org/wikipedia/en/7/71/Walk_the_Moon_-_Shut_Up_and_Dance_%28Official_Single_Cover%29.png
La Canción;J Balvin & Bad Bunny - Image: songs2\La Canción - J Balvin & Bad Bunny.jpg - URL: https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb
I'm Good (Blue);David Guetta ft. Bebe Rexha - Image: songs2\I'm Good (Blue) - David Guetta ft. Bebe Rexha.jpg - URL: https://i.ytimg.com/vi/90RLzVUuXe4/maxresdefault.jpg
Sweater Weather;The Neighbourhood - Image: songs2\Sweater Weather - The Neighbourhood.jpg - URL: https://upload.wikimedia.org/wikipedia/en/6/6c/Sweater_Weather_%28The_Neighborhood_single_cover%29.jpg
Heat Waves;Glass Animals - Image: songs2\Heat Waves - Glass Animals.jpg - URL: https://upload.wikimedia.org/wikipedia/en/b/b0/Glass_Animals_-_Heat_Waves.png
Perfect;Ed Sheeran - Image: songs2\Perfect - Ed Sheeran.jpg - URL: https://upload.wikimedia.org/wikipedia/en/8/80/Ed_Sheeran_Perfect_Single_cover.jpg
Rockstar;Post Malone ft. 21 Savage - Image: songs2\Rockstar - Post Malone ft. 21 Savage.jpg - URL: https://i.ytimg.com/vi/UceaB4D0jpo/maxresdefault.jpg
Closer;The Chainsmokers ft. Halsey - Image: songs2\Closer - The Chainsmokers ft. Halsey.jpg - URL: https://upload.wikimedia.org/wikipedia/en/a/a5/Closer_%28featuring_Halsey%29_%28Official_Single_Cover%29_by_The_Chainsmokers.png
Say You Won't Let Go;James Arthur - Image: songs2\Say You Won't Let Go - James Arthur.jpg - URL: https://upload.wikimedia.org/wikipedia/en/d/d8/Say_You_Won%27t_Let_Go.jpg
Lovely;Billie Eilish & Khalid - Image: songs2\Lovely - Billie Eilish & Khalid.jpg - URL: https://upload.wikimedia.org/wikipedia/en/f/fa/Billie_Eilish_and_Khalid_-_Lovely.png
Watermelon Sugar;Harry Styles - Image: songs2\Watermelon Sugar - Harry Styles.jpg - URL: https://i.ytimg.com/vi/7-x3uD5z1bQ/maxresdefault.jpg
Señorita;Shawn Mendes & Camila Cabello - Image: songs2\Señorita - Shawn Mendes & Camila Cabello.jpg - URL: https://upload.wikimedia.org/wikipedia/commons/8/8d/Shawn_Mendes_and_Camila_Cabello_-_Se%C3%B1orita.png
Something Just Like This;The Chainsmokers & Coldplay - Image: songs2\Something Just Like This - The Chainsmokers & Coldplay.jpg - URL: https://i.scdn.co/image/ab67616d0000b273f79b7f08426e2899a832d3e6
Don't Start Now;Dua Lipa - Image: songs2\Don't Start Now - Dua Lipa.jpg - URL: https://upload.wikimedia.org/wikipedia/en/2/2b/Dua_Lipa_-_Don%27t_Start_Now.png
Riptide;Vance Joy - Image: songs2\Riptide - Vance Joy.jpg - URL: https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03
Take Me To Church;Hozier - Image: songs2\Take Me To Church - Hozier.jpg - URL: https://upload.wikimedia.org/wikipedia/en/e/e5/Hozier_Take_Me_to_Church.jpg
Lucid Dreams;Juice WRLD - Image: songs2\Lucid Dreams - Juice WRLD.jpg - URL: https://upload.wikimedia.org/wikipedia/en/c/cf/Juice_WRLD_-_Lucid_Dreams.png
Another Love;Tom Odell - Image: songs2\Another Love - Tom Odell.jpg - URL: https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f
Photograph;Ed Sheeran - Image: songs2\Photograph - Ed Sheeran.jpg - URL: https://i.ytimg.com/vi/SlbfAYvA_gI/maxresdefault.jpg
God's Plan;Drake - Image: songs2\God's Plan - Drake.jpg - URL: https://i.ytimg.com/vi/m1a_GqJf02M/maxresdefault.jpg
Counting Stars;OneRepublic - Image: songs2\Counting Stars - OneRepublic.jpg - URL: https://upload.wikimedia.org/wikipedia/en/3/37/OneRepublic_Counting_Stars_cover.png
Bad Guy;Billie Eilish - Image: songs2\Bad Guy - Billie Eilish.jpg - URL: https://www.billboard.com/wp-content/uploads/media/Billie-Eilish-Bad-Guy-screenshot-2019-billboard-1500.jpg
Circles;Post Malone - Image: songs2\Circles - Post Malone.jpg - URL: https://i.ytimg.com/vi/wXhTHyIgQ_U/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBRwjrFuXOuoDjqwHMHR4Is3Ze_Dg
Bohemian Rhapsody;Queen - Image: songs2\Bohemian Rhapsody - Queen.jpg - URL: https://i.ytimg.com/vi/fJ9rUzIMcZQ/hqdefault.jpg
Thinking Out Loud;Ed Sheeran - Image: songs2\Thinking Out Loud - Ed Sheeran.jpg - URL: https://i.ytimg.com/vi/WpyfrixXBqU/maxresdefault.jpg
Shallow;Lady Gaga & Bradley Cooper - Image: songs2\Shallow - Lady Gaga & Bradley Cooper.jpg - URL: https://m.media-amazon.com/images/M/MV5BMGVkNGM0MDAtODc0MS00M2M4LWJiNDgtZWIzNWVhMTUwNDgwXkEyXkFqcGc@._V1_.jpg
Can't Hold Us;Macklemore & Ryan Lewis ft. Ray Dalton - Image: songs2\Can't Hold Us - Macklemore & Ryan Lewis ft. Ray Dalton.jpg - URL: https://i.ytimg.com/vi/VG3JsmOmDqw/maxresdefault.jpg
Goosebumps;Travis Scott ft. Kendrick Lamar - Image: songs2\Goosebumps - Travis Scott ft. Kendrick Lamar.jpg - URL: https://i.ytimg.com/vi/Dst9gZkq1a8/maxresdefault.jpg
Love Yourself;Justin Bieber - Image: songs2\Love Yourself - Justin Bieber.jpg - URL: https://upload.wikimedia.org/wikipedia/en/0/0b/JustinBieberLoveYourself.png
Thunder;Imagine Dragons - Image: songs2\Thunder - Imagine Dragons.jpg - URL: https://upload.wikimedia.org/wikipedia/en/2/28/Imagine_Dragons_Thunder.jpg
All Of Me;John Legend - Image: songs2\All Of Me - John Legend.jpg - URL: https://i.ytimg.com/vi/450p7goxZqg/maxresdefault.jpg
Yellow;Coldplay - Image: songs2\Yellow - Coldplay.jpg - URL: https://upload.wikimedia.org/wikipedia/en/9/9b/Yellow_cover_art.JPG
Wake Me Up;Avicii ft. Aloe Blacc - Image: songs2\Wake Me Up - Avicii ft. Aloe Blacc.jpg - URL: https://upload.wikimedia.org/wikipedia/en/2/2a/Wake-me-up-ep-aloe-blacc.jpg
Cruel Summer;Taylor Swift - Image: songs2\Cruel Summer - Taylor Swift.jpg - URL: https://i.ytimg.com/vi/ic8j13piAhQ/maxresdefault.jpg
The Hills;The Weeknd - Image: songs2\The Hills - The Weeknd.jpg - URL: https://i.ytimg.com/vi/GfiJowcJiVw/maxresdefault.jpg
Stressed Out;Twenty One Pilots - Image: songs2\Stressed Out - Twenty One Pilots.jpg - URL: https://upload.wikimedia.org/wikipedia/en/f/fc/Twenty_One_Pilots_-_Stressed_Out.png
Die For You;The Weeknd - Image: songs2\Die For You - The Weeknd.jpg - URL: https://upload.wikimedia.org/wikipedia/en/8/81/The_Weeknd_-_Die_for_You.png
I Wanna Be Yours;Arctic Monkeys - Image: songs2\I Wanna Be Yours - Arctic Monkeys.jpg - URL: https://i.ytimg.com/vi/fJLQCf4mFP0/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AH-BIAC4AOKAgwIABABGF0gXShdMA8=&rs=AOn4CLBhOWkIBZuI9TDxrcYloZ3ebv8AeA
Demons;Imagine Dragons - Image: songs2\Demons - Imagine Dragons.jpg - URL: https://upload.wikimedia.org/wikipedia/en/2/2b/Imagine_Dragons_-_%22Demons%22_%28Official_Single_Cover%29.jpg
7 Rings;Ariana Grande - Image: songs2\7 Rings - Ariana Grande.jpg - URL: https://upload.wikimedia.org/wikipedia/en/b/b7/Ariana_Grande_-_7_rings.png
Let Her Go;Passenger - Image: songs2\Let Her Go - Passenger.jpg - URL: https://upload.wikimedia.org/wikipedia/en/f/f9/Let-her-go-by-passenger.jpg
No Role Modelz;J. Cole - Image: songs2\No Role Modelz - J. Cole.jpg - URL: https://i1.sndcdn.com/artworks-f7E6zirfqRVC-0-t500x500.jpg
Humble;Kendrick Lamar - Image: songs2\Humble - Kendrick Lamar.jpg - URL: https://upload.wikimedia.org/wikipedia/en/5/58/Humble_kendrick_lamar.jpg
The Night We Met;Lord Huron - Image: songs2\The Night We Met - Lord Huron.jpg - URL: https://i.ytimg.com/vi/KtlgYxa6BMU/maxresdefault.jpg
Mr. Brightside;The Killers - Image: songs2\Mr. Brightside - The Killers.jpg - URL: https://i.ytimg.com/vi/gGdGFtwCNBE/maxresdefault.jpg
Lose Yourself;Eminem - Image: songs2\Lose Yourself - Eminem.jpg - URL: https://upload.wikimedia.org/wikipedia/en/d/d6/Lose_Yourself.jpg
Do I Wanna Know?;Arctic Monkeys - Image: songs2\Do I Wanna Know - Arctic Monkeys.jpg - URL: https://i.ytimg.com/vi/bpOSxM0rNPM/hqdefault.jpg
Viva La Vida;Coldplay - Image: songs2\Viva La Vida - Coldplay.jpg - URL: https://m.media-amazon.com/images/I/9145yafeO2L._UF1000,1000_QL80_.jpg
Without Me;Eminem - Image: songs2\Without Me - Eminem.jpg - URL: https://i.ytimg.com/vi/YVkUvmDQ3HY/maxresdefault.jpg
Sad!;XXXTentacion - Image: songs2\Sad! - XXXTentacion.jpg - URL: https://i.scdn.co/image/ab67616d0000b273d3fe00abb18d628ac198fd16
One Kiss;Calvin Harris & Dua Lipa - Image: songs2\One Kiss - Calvin Harris & Dua Lipa.jpg - URL: https://upload.wikimedia.org/wikipedia/en/3/3e/Calvin_Harris_and_Dua_Lipa_One_Kiss.png
Drivers License;Olivia Rodrigo - Image: songs2\Drivers License - Olivia Rodrigo.jpg - URL: https://upload.wikimedia.org/wikipedia/en/0/09/Drivers_License_by_Olivia_Rodrigo.png
Treat You Better;Shawn Mendes - Image: songs2\Treat You Better - Shawn Mendes.jpg - URL: https://i.scdn.co/image/ab67616d0000b2731376b4b16f4bfcba02dc571b
Good 4 U;Olivia Rodrigo - Image: songs2\Good 4 U - Olivia Rodrigo.jpg - URL: https://i.ytimg.com/vi/gNi_6U5Pm_o/maxresdefault.jpg
Jocelyn Flores;XXXTentacion - Image: songs2\Jocelyn Flores - XXXTentacion.jpg - URL: https://i.ytimg.com/vi/FAucVNRx_mU/maxresdefault.jpg
When I Was Your Man;Bruno Mars - Image: songs2\When I Was Your Man - Bruno Mars.jpg - URL: https://upload.wikimedia.org/wikipedia/en/6/62/Bruno-mars-when-i-was-your-man.jpg
Gangsta's Paradise;Coolio ft. L.V. - Image: songs2\Gangsta's Paradise - Coolio ft. L.V..jpg - URL: https://upload.wikimedia.org/wikipedia/en/c/c6/Gangsta%27s_paradise.jpg
Let Me Love You;DJ Snake ft. Justin Bieber - Image: songs2\Let Me Love You - DJ Snake ft. Justin Bieber.jpg - URL: https://upload.wikimedia.org/wikipedia/en/a/a5/DJSnakeLetMeLoveYou.jpg
Just The Way You Are;Bruno Mars - Image: songs2\Just The Way You Are - Bruno Mars.jpg - URL: https://upload.wikimedia.org/wikipedia/en/f/fa/Bruno-mars-just-the-way-you-are.jpg
Happier;Marshmello ft. Bastille - Image: songs2\Happier - Marshmello ft. Bastille.jpg - URL: https://upload.wikimedia.org/wikipedia/en/e/e5/Marshmello_and_Bastille_Happier.png
Sicko Mode;Travis Scott ft. Drake - Image: songs2\Sicko Mode - Travis Scott ft. Drake.jpg - URL: https://i.ytimg.com/vi/d-JBBNg8YKs/maxresdefault.jpg
XO Tour Llif3;Lil Uzi Vert - Image: songs2\XO Tour Llif3 - Lil Uzi Vert.jpg - URL: https://i.ytimg.com/vi/WrsFXgQk5UI/hqdefault.jpg
Unforgettable;French Montana ft. Swae Lee - Image: songs2\Unforgettable - French Montana ft. Swae Lee.jpg - URL: https://upload.wikimedia.org/wikipedia/en/d/d5/FrenchMontanaUnforgettable.jpg
Flowers;Miley Cyrus - Image: songs2\Flowers - Miley Cyrus.jpg - URL: https://pretavoir.co.uk/cdn/shop/articles/MILEY_CYRUS_FLOWERS.png?v=1674751436
That's What I Like;Bruno Mars - Image: songs2\That's What I Like - Bruno Mars.jpg - URL: https://upload.wikimedia.org/wikipedia/en/f/f4/That%27s_What_I_Like_Remixes.jpg
Every Breath You Take;The Police - Image: songs2\Every Breath You Take - The Police.jpg - URL: https://upload.wikimedia.org/wikipedia/en/8/8c/The_police_-_every_breath_you_take.jpg
New Rules;Dua Lipa - Image: songs2\New Rules - Dua Lipa.jpg - URL: https://upload.wikimedia.org/wikipedia/en/e/e5/New_Rules_%28Official_Single_Cover%29_by_Dua_Lipa.png
Sorry;Justin Bieber - Image: songs2\Sorry - Justin Bieber.jpg - URL: https://upload.wikimedia.org/wikipedia/en/d/dc/Justin_Bieber_-_Sorry_%28Official_Single_Cover%29.png
Lean On;Major Lazer ft. MØ & DJ Snake - Image: songs2\Lean On - Major Lazer ft. MØ & DJ Snake.jpg - URL: https://i1.sndcdn.com/artworks-000108593302-0ek7n6-t500x500.jpg
In The End;Linkin Park - Image: songs2\In The End - Linkin Park.jpg - URL: https://upload.wikimedia.org/wikipedia/en/3/3f/LinkinParkIntheEnd.jpg
Levitating (Remix);Dua Lipa ft. DaBaby - Image: songs2\Levitating (Remix) - Dua Lipa ft. DaBaby.jpg - URL: https://i1.sndcdn.com/artworks-YL3ua1FAzIzzSk0e-OWj0qw-t500x500.jpg
Locked Out Of Heaven;Bruno Mars - Image: songs2\Locked Out Of Heaven - Bruno Mars.jpg - URL: https://i.ytimg.com/vi/e-fA-gBCkj0/maxresdefault.jpg
There's Nothing Holdin' Me Back;Shawn Mendes - Image: songs2\There's Nothing Holdin' Me Back - Shawn Mendes.jpg - URL: https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521
Too Good At Goodbyes;Sam Smith - Image: songs2\Too Good At Goodbyes - Sam Smith.jpg - URL: https://i.scdn.co/image/ab67616d0000b273005cd7d0ae87b081601f6cca
Havana;Camila Cabello ft. Young Thug - Image: songs2\Havana - Camila Cabello ft. Young Thug.jpg - URL: https://i.ytimg.com/vi/HCjNJDNzw8Y/maxresdefault.jpg
Stay With Me;Sam Smith - Image: songs2\Stay With Me - Sam Smith.jpg - URL: https://i.ytimg.com/vi/pB-5XG-DbAA/maxresdefault.jpg
Cold Heart (Pnau Remix);Elton John & Dua Lipa ft. Pnau - Image: songs2\Cold Heart (Pnau Remix) - Elton John & Dua Lipa ft. Pnau.jpg - URL: https://i.scdn.co/image/ab67616d0000b2739f5cce8304c42d3a5463fd23
Smells Like Teen Spirit;Nirvana - Image: songs2\Smells Like Teen Spirit - Nirvana.jpg - URL: https://upload.wikimedia.org/wikipedia/en/3/3c/Smells_Like_Teen_Spirit.jpg
Without Me;Halsey - Image: songs2\Without Me - Halsey.jpg - URL: https://i.scdn.co/image/ab67616d0000b273c42acc1b86597285c2c79559
Save Your Tears;The Weeknd - Image: songs2\Save Your Tears - The Weeknd.jpg - URL: https://upload.wikimedia.org/wikipedia/en/e/e6/Save_Your_Tears_-_Official_Fortnite_Jam_Track_Cover_Art.png
Wonderwall;Oasis - Image: songs2\Wonderwall - Oasis.jpg - URL: https://upload.wikimedia.org/wikipedia/en/1/17/Wonderwall_cover.jpg
Memories;Maroon 5 - Image: songs2\Memories - Maroon 5.jpg - URL: https://upload.wikimedia.org/wikipedia/en/c/c3/Maroon_5_-_Memories.png
Don't Stop Me Now;Queen - Image: songs2\Don't Stop Me Now - Queen.jpg - URL: https://upload.wikimedia.org/wikipedia/en/9/97/Queen-dont-stop-me-now-1979-6-s.jpg
Uptown Funk;Mark Ronson ft. Bruno Mars - Image: songs2\Uptown Funk - Mark Ronson ft. Bruno Mars.jpg - URL: https://i.ytimg.com/vi/OPf0YbXqDm0/maxresdefault.jpg
Industry Baby;Lil Nas X ft. Jack Harlow - Image: songs2\Industry Baby - Lil Nas X ft. Jack Harlow.jpg - URL: https://i.scdn.co/image/ab67616d0000b273ba26678947112dff3c3158bf
Don't Stop Believin';Journey - Image: songs2\Don't Stop Believin' - Journey.jpg - URL: https://i.ytimg.com/vi/VcjzHMhBtf0/maxresdefault.jpg
Dákiti;Bad Bunny & Jhayco - Image: songs2\Dákiti - Bad Bunny & Jhayco.jpg - URL: https://i.ytimg.com/vi/TmKh7lAwnBI/maxresdefault.jpg
Congratulations;Post Malone ft. Quavo - Image: songs2\Congratulations - Post Malone ft. Quavo.jpg - URL: https://i.ytimg.com/vi/SC4xMk98Pdc/maxresdefault.jpg
Kill Bill;SZA - Image: songs2\Kill Bill - SZA.jpg - URL: https://i.ytimg.com/vi/MSRcC626prw/maxresdefault.jpg
Take On Me;a-ha - Image: songs2\Take On Me - a-ha.jpg - URL: https://i.ytimg.com/vi/djV11Xbc914/maxresdefault.jpg
Till I Collapse;Eminem ft. Nate Dogg - Image: songs2\Till I Collapse - Eminem ft. Nate Dogg.jpg - URL: https://i1.sndcdn.com/artworks-Bn6tGsMmwL0HVlAU-HKnA9g-t500x500.jpg
I Took A Pill In Ibiza;Mike Posner ft. Seeb - Image: songs2\I Took A Pill In Ibiza - Mike Posner ft. Seeb.jpg - URL: https://i.ytimg.com/vi/foE1mO2yM04/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLBpTkVNjd72o43wNcxrCEABzN51bA
Someone Like You;Adele - Image: songs2\Someone Like You - Adele.jpg - URL: https://i.ytimg.com/vi/hLQl3WQQoQ0/maxresdefault.jpg
Faded;Alan Walker ft. Iselin Solheim - Image: songs2\Faded - Alan Walker ft. Iselin Solheim.jpg - URL: https://i1.sndcdn.com/artworks-000202345509-9rgrdm-t500x500.jpg
The Scientist;Coldplay - Image: songs2\The Scientist - Coldplay.jpg - URL: https://upload.wikimedia.org/wikipedia/en/c/c2/Coldplay_-_The_Scientist.png
Better Now;Post Malone - Image: songs2\Better Now - Post Malone.jpg - URL: https://m.media-amazon.com/images/M/MV5BOWU2NzczNzctYzY3Yi00Mjc3LThlMmMtZjU3NzRjYTMxOGVmXkEyXkFqcGc@._V1_.jpg
7 Years;Lukas Graham - Image: songs2\7 Years - Lukas Graham.jpg - URL: https://upload.wikimedia.org/wikipedia/en/b/bc/7-Years-by-Lukas-Graham.jpg
